#      time  integrated_mags
#     [Myr]    [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]
   751.0000    -4.33  -3.17  -3.64  -3.85  -4.04  -4.33  -2.03  -3.00  -4.03  -4.01  -3.91  -3.81  -3.80  -8.27  -6.82  -8.35  -2.35  -5.75
   501.0000    -4.57  -3.94  -4.16  -4.31  -4.40  -4.57  -2.70  -3.52  -4.44  -4.32  -4.15  -4.03  -4.01  -8.60  -7.07  -8.73  -5.14  -6.72
   140.0000    -5.26  -5.90  -5.72  -5.32  -5.28  -5.26  -4.53  -4.91  -5.39  -5.13  -4.87  -4.68  -4.62  -9.46  -7.79  -9.68  -8.52  -8.91
   460.0000    -4.56  -4.00  -4.19  -4.33  -4.40  -4.56  -2.75  -3.55  -4.45  -4.32  -4.14  -4.02  -4.00  -8.60  -7.06  -8.74  -5.43  -6.80
    66.0000    -5.70  -6.95  -6.60  -5.88  -5.79  -5.70  -5.53  -5.67  -5.93  -5.61  -5.31  -5.08  -5.00  -9.96  -8.23 -10.23  -9.85 -10.03
   713.0000    -4.43  -3.33  -3.77  -3.99  -4.17  -4.43  -2.17  -3.13  -4.16  -4.12  -4.01  -3.91  -3.90  -8.39  -6.92  -8.47  -2.74  -5.93
   200.0000    -5.18  -5.61  -5.48  -5.20  -5.17  -5.18  -4.26  -4.71  -5.27  -5.03  -4.78  -4.60  -4.55  -9.35  -7.70  -9.56  -8.17  -8.60
   571.0000    -4.45  -3.67  -3.96  -4.13  -4.24  -4.45  -2.45  -3.32  -4.26  -4.17  -4.04  -3.92  -3.91  -8.45  -6.95  -8.57  -4.42  -6.40
   873.0000    -4.20  -2.83  -3.42  -3.60  -3.85  -4.20  -1.74  -2.76  -3.81  -3.84  -3.77  -3.68  -3.67  -8.09  -6.68  -8.14  -1.21  -5.31
    46.0000    -5.78  -7.22  -6.81  -5.99  -5.89  -5.77  -5.78  -5.85  -6.03  -5.70  -5.40  -5.15  -5.07 -10.06  -8.31 -10.34 -10.22 -10.32
   684.0000    -4.42  -3.39  -3.79  -4.01  -4.17  -4.42  -2.22  -3.16  -4.17  -4.12  -4.00  -3.90  -3.88  -8.38  -6.91  -8.48  -3.06  -6.02
   345.0000    -4.72  -4.47  -4.54  -4.59  -4.62  -4.72  -3.18  -3.89  -4.69  -4.52  -4.32  -4.17  -4.14  -8.81  -7.23  -8.98  -6.45  -7.34
   709.0000    -4.43  -3.33  -3.77  -3.99  -4.16  -4.43  -2.17  -3.13  -4.15  -4.12  -4.01  -3.91  -3.89  -8.38  -6.92  -8.47  -2.78  -5.94
   482.0000    -4.60  -4.01  -4.21  -4.36  -4.44  -4.60  -2.76  -3.58  -4.48  -4.35  -4.18  -4.06  -4.04  -8.64  -7.10  -8.77  -5.33  -6.80
   404.0000    -4.63  -4.21  -4.34  -4.44  -4.50  -4.63  -2.94  -3.70  -4.55  -4.40  -4.22  -4.08  -4.06  -8.69  -7.13  -8.84  -5.93  -7.05
