# Teff logg metallicity alpha specname
8750 2.50 -1.50 0.0 08750_p2.5_m1.5_p00.spec
8750 3.00 -1.50 0.0 08750_p3.0_m1.5_p00.spec
8750 3.50 -1.50 0.0 08750_p3.5_m1.5_p00.spec
8750 4.00 -1.50 0.0 08750_p4.0_m1.5_p00.spec
8750 4.50 -1.50 0.0 08750_p4.5_m1.5_p00.spec
8750 5.00 -1.50 0.0 08750_p5.0_m1.5_p00.spec
9000 2.00 -1.50 0.0 09000_p2.0_m1.5_p00.spec
9000 2.50 -1.50 0.0 09000_p2.5_m1.5_p00.spec
9000 3.00 -1.50 0.0 09000_p3.0_m1.5_p00.spec
9000 3.50 -1.50 0.0 09000_p3.5_m1.5_p00.spec
9000 4.00 -1.50 0.0 09000_p4.0_m1.5_p00.spec
9000 4.50 -1.50 0.0 09000_p4.5_m1.5_p00.spec
9000 5.00 -1.50 0.0 09000_p5.0_m1.5_p00.spec
9250 2.00 -1.50 0.0 09250_p2.0_m1.5_p00.spec
9250 2.50 -1.50 0.0 09250_p2.5_m1.5_p00.spec
9250 3.00 -1.50 0.0 09250_p3.0_m1.5_p00.spec
9250 3.50 -1.50 0.0 09250_p3.5_m1.5_p00.spec
9250 4.00 -1.50 0.0 09250_p4.0_m1.5_p00.spec
9250 4.50 -1.50 0.0 09250_p4.5_m1.5_p00.spec
9250 5.00 -1.50 0.0 09250_p5.0_m1.5_p00.spec
9500 2.00 -1.50 0.0 09500_p2.0_m1.5_p00.spec
9500 2.50 -1.50 0.0 09500_p2.5_m1.5_p00.spec
9500 3.00 -1.50 0.0 09500_p3.0_m1.5_p00.spec
9500 3.50 -1.50 0.0 09500_p3.5_m1.5_p00.spec
9500 4.00 -1.50 0.0 09500_p4.0_m1.5_p00.spec
9500 4.50 -1.50 0.0 09500_p4.5_m1.5_p00.spec
9500 5.00 -1.50 0.0 09500_p5.0_m1.5_p00.spec
9750 2.00 -1.50 0.0 09750_p2.0_m1.5_p00.spec
9750 2.50 -1.50 0.0 09750_p2.5_m1.5_p00.spec
9750 3.00 -1.50 0.0 09750_p3.0_m1.5_p00.spec
9750 3.50 -1.50 0.0 09750_p3.5_m1.5_p00.spec
9750 4.00 -1.50 0.0 09750_p4.0_m1.5_p00.spec
9750 4.50 -1.50 0.0 09750_p4.5_m1.5_p00.spec
9750 5.00 -1.50 0.0 09750_p5.0_m1.5_p00.spec
10000 2.00 -1.50 0.0 10000_p2.0_m1.5_p00.spec
10000 2.50 -1.50 0.0 10000_p2.5_m1.5_p00.spec
10000 3.00 -1.50 0.0 10000_p3.0_m1.5_p00.spec
10000 3.50 -1.50 0.0 10000_p3.5_m1.5_p00.spec
10000 4.00 -1.50 0.0 10000_p4.0_m1.5_p00.spec
10000 4.50 -1.50 0.0 10000_p4.5_m1.5_p00.spec
10000 5.00 -1.50 0.0 10000_p5.0_m1.5_p00.spec
10500 2.00 -1.50 0.0 10500_p2.0_m1.5_p00.spec
10500 2.50 -1.50 0.0 10500_p2.5_m1.5_p00.spec
10500 3.00 -1.50 0.0 10500_p3.0_m1.5_p00.spec
10500 3.50 -1.50 0.0 10500_p3.5_m1.5_p00.spec
10500 4.00 -1.50 0.0 10500_p4.0_m1.5_p00.spec
10500 4.50 -1.50 0.0 10500_p4.5_m1.5_p00.spec
10500 5.00 -1.50 0.0 10500_p5.0_m1.5_p00.spec
11000 2.50 -1.50 0.0 11000_p2.5_m1.5_p00.spec
11000 3.00 -1.50 0.0 11000_p3.0_m1.5_p00.spec
11000 3.50 -1.50 0.0 11000_p3.5_m1.5_p00.spec
11000 4.00 -1.50 0.0 11000_p4.0_m1.5_p00.spec
11000 4.50 -1.50 0.0 11000_p4.5_m1.5_p00.spec
11000 5.00 -1.50 0.0 11000_p5.0_m1.5_p00.spec
11500 2.50 -1.50 0.0 11500_p2.5_m1.5_p00.spec
11500 3.00 -1.50 0.0 11500_p3.0_m1.5_p00.spec
11500 3.50 -1.50 0.0 11500_p3.5_m1.5_p00.spec
11500 4.00 -1.50 0.0 11500_p4.0_m1.5_p00.spec
11500 4.50 -1.50 0.0 11500_p4.5_m1.5_p00.spec
11500 5.00 -1.50 0.0 11500_p5.0_m1.5_p00.spec
12000 2.50 -1.50 0.0 12000_p2.5_m1.5_p00.spec
12000 3.00 -1.50 0.0 12000_p3.0_m1.5_p00.spec
12000 3.50 -1.50 0.0 12000_p3.5_m1.5_p00.spec
12000 4.00 -1.50 0.0 12000_p4.0_m1.5_p00.spec
12000 4.50 -1.50 0.0 12000_p4.5_m1.5_p00.spec
12000 5.00 -1.50 0.0 12000_p5.0_m1.5_p00.spec
12500 2.50 -1.50 0.0 12500_p2.5_m1.5_p00.spec
12500 3.00 -1.50 0.0 12500_p3.0_m1.5_p00.spec
12500 3.50 -1.50 0.0 12500_p3.5_m1.5_p00.spec
12500 4.00 -1.50 0.0 12500_p4.0_m1.5_p00.spec
12500 4.50 -1.50 0.0 12500_p4.5_m1.5_p00.spec
12500 5.00 -1.50 0.0 12500_p5.0_m1.5_p00.spec
13000 2.50 -1.50 0.0 13000_p2.5_m1.5_p00.spec
13000 3.00 -1.50 0.0 13000_p3.0_m1.5_p00.spec
13000 3.50 -1.50 0.0 13000_p3.5_m1.5_p00.spec
13000 4.00 -1.50 0.0 13000_p4.0_m1.5_p00.spec
13000 4.50 -1.50 0.0 13000_p4.5_m1.5_p00.spec
13000 5.00 -1.50 0.0 13000_p5.0_m1.5_p00.spec
14000 2.00 -1.50 0.0 14000_p2.0_m1.5_p00.spec
14000 2.50 -1.50 0.0 14000_p2.5_m1.5_p00.spec
14000 3.00 -1.50 0.0 14000_p3.0_m1.5_p00.spec
14000 3.50 -1.50 0.0 14000_p3.5_m1.5_p00.spec
14000 4.00 -1.50 0.0 14000_p4.0_m1.5_p00.spec
14000 4.50 -1.50 0.0 14000_p4.5_m1.5_p00.spec
14000 5.00 -1.50 0.0 14000_p5.0_m1.5_p00.spec
15000 2.50 -1.50 0.0 15000_p2.5_m1.5_p00.spec
15000 3.00 -1.50 0.0 15000_p3.0_m1.5_p00.spec
15000 3.50 -1.50 0.0 15000_p3.5_m1.5_p00.spec
15000 4.00 -1.50 0.0 15000_p4.0_m1.5_p00.spec
15000 4.50 -1.50 0.0 15000_p4.5_m1.5_p00.spec
15000 5.00 -1.50 0.0 15000_p5.0_m1.5_p00.spec
16000 2.50 -1.50 0.0 16000_p2.5_m1.5_p00.spec
16000 3.00 -1.50 0.0 16000_p3.0_m1.5_p00.spec
16000 3.50 -1.50 0.0 16000_p3.5_m1.5_p00.spec
16000 4.00 -1.50 0.0 16000_p4.0_m1.5_p00.spec
16000 4.50 -1.50 0.0 16000_p4.5_m1.5_p00.spec
16000 5.00 -1.50 0.0 16000_p5.0_m1.5_p00.spec
17000 2.50 -1.50 0.0 17000_p2.5_m1.5_p00.spec
17000 3.00 -1.50 0.0 17000_p3.0_m1.5_p00.spec
17000 3.50 -1.50 0.0 17000_p3.5_m1.5_p00.spec
17000 4.00 -1.50 0.0 17000_p4.0_m1.5_p00.spec
17000 4.50 -1.50 0.0 17000_p4.5_m1.5_p00.spec
17000 5.00 -1.50 0.0 17000_p5.0_m1.5_p00.spec
18000 2.50 -1.50 0.0 18000_p2.5_m1.5_p00.spec
18000 3.00 -1.50 0.0 18000_p3.0_m1.5_p00.spec
18000 3.50 -1.50 0.0 18000_p3.5_m1.5_p00.spec
18000 4.00 -1.50 0.0 18000_p4.0_m1.5_p00.spec
18000 4.50 -1.50 0.0 18000_p4.5_m1.5_p00.spec
18000 5.00 -1.50 0.0 18000_p5.0_m1.5_p00.spec
19000 2.50 -1.50 0.0 19000_p2.5_m1.5_p00.spec
19000 3.00 -1.50 0.0 19000_p3.0_m1.5_p00.spec
19000 3.50 -1.50 0.0 19000_p3.5_m1.5_p00.spec
19000 4.00 -1.50 0.0 19000_p4.0_m1.5_p00.spec
19000 4.50 -1.50 0.0 19000_p4.5_m1.5_p00.spec
19000 5.00 -1.50 0.0 19000_p5.0_m1.5_p00.spec
20000 3.00 -1.50 0.0 20000_p3.0_m1.5_p00.spec
20000 3.50 -1.50 0.0 20000_p3.5_m1.5_p00.spec
20000 4.00 -1.50 0.0 20000_p4.0_m1.5_p00.spec
20000 4.50 -1.50 0.0 20000_p4.5_m1.5_p00.spec
20000 5.00 -1.50 0.0 20000_p5.0_m1.5_p00.spec
21000 3.00 -1.50 0.0 21000_p3.0_m1.5_p00.spec
21000 3.50 -1.50 0.0 21000_p3.5_m1.5_p00.spec
21000 4.00 -1.50 0.0 21000_p4.0_m1.5_p00.spec
21000 4.50 -1.50 0.0 21000_p4.5_m1.5_p00.spec
21000 5.00 -1.50 0.0 21000_p5.0_m1.5_p00.spec
22000 3.00 -1.50 0.0 22000_p3.0_m1.5_p00.spec
22000 3.50 -1.50 0.0 22000_p3.5_m1.5_p00.spec
22000 4.00 -1.50 0.0 22000_p4.0_m1.5_p00.spec
22000 4.50 -1.50 0.0 22000_p4.5_m1.5_p00.spec
22000 5.00 -1.50 0.0 22000_p5.0_m1.5_p00.spec
23000 3.00 -1.50 0.0 23000_p3.0_m1.5_p00.spec
